#Gene_ID	YL.RS.145.1	YL.RS.1488	YL.RS.Si051.12	YL.RS.Si062	YL.RS.Si080	YL.RS.Si214	YL.RS.Si255	YL.RS.Si268	YL.RP.112	YL.RP.1488	YL.RP.342	YL.RP.348	YL.RP.64	YL.RP.977	YL.RP.995	YL.RP.9	YL.RP.Si051	YL.RP.Si062	YL.RP.Si079	YL.RP.Si080	YL.RP.Si081	YL.RP.Si083	YL.RP.Si090	YL.RP.Si214	YL.RP.Si248	YL.RP.Si249	YL.RP.Si268	YL.RS.1489	YL.RS.1606	YL.RS.251	YL.RS.342	YL.RS.348	YL.RS.37	YL.RS.427	YL.RS.53	YL.RS.642	YL.RS.977	YL.RS.995	YL.RS.9	YL.RS.Si079	YL.RS.Si081	YL.RS.Si083	YL.RS.Si090	YL.RS.Si227	YL.RS.Si248	YL.RS.Si249
YLrefSI_24397616	5.86369670841503e-08	0	0	0	0	0	0	1.52954959645356e-08	0	4.41068443860398e-08	1.32544761958811e-08	0	6.17683702587058e-08	1.59985731649915e-08	2.06252807797168e-08	0	0	2.90775979938399e-08	0	3.41211020235046e-08	0	4.28813913859004e-08	1.48627102803874e-08	1.74471229526029e-08	0	0	1.76456039056745e-08	0	0	0	0	0	0	1.59737869990041e-08	0	0	0	1.768773847267e-08	0	1.76538332831112e-08	0	1.92915935356401e-08	0	0	1.55238384359348e-08	0
YLrefSI_25294242	0	1.49201852972734e-08	1.31065076565064e-08	1.55172479753454e-08	1.00251729710889e-08	1.35158959968214e-08	3.50213245019834e-08	1.52212459841253e-08	0	0	0	0	0	0	0	0	0	1.44682223027602e-08	0	3.39554656059149e-08	0	0	0	0	0	0	0	2.08155603309817e-08	2.23394233355889e-08	0	1.60398276039236e-08	0	6.26788130644195e-08	0	0	0	0	0	0	1.75681350632903e-08	0	0	0	1.64407302484945e-08	0	0
YLrefSI_2641723	0	0	0	0	0	0	0	4.31007102780729e-08	3.53606277629003e-08	0	9.33734577373069e-09	4.75947605952527e-08	0	1.12704725045474e-08	0	0	0	2.04842185179972e-08	0	0	0	1.51042701617004e-08	2.09405883675561e-08	0	0	5.61421225304992e-08	1.24307518923137e-08	1.47354138425507e-08	3.16283244476378e-08	0	1.13546545924683e-08	0	0	0	0	0	2.2294176023108e-08	0	0	0	5.56227362527387e-08	0	0	2.3276910179999e-08	0	0
YLrefSI_27533468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34997893492663e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_28631736	1.08882049386329e-08	0	0	0	0	1.00879513599464e-08	0	1.13607850461224e-08	0	0	1.96896204359103e-08	0	1.52928936026989e-08	1.18829981841422e-08	3.06390040568257e-08	0	0	0	0	0	0	1.59251544096188e-08	0	1.29589137872594e-08	1.21410281268844e-08	1.47983312104848e-08	1.31063362342872e-08	0	0	0	0	0	0	0	0	0	0	1.31376318365846e-08	0	0	0	0	0	0	0	0
YLrefSI_359693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55506965447113e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_4045494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95799334620193e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_4915185	9.85293299364822e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77257872776522e-08	0	0	0	0	0	0	0	0	0	0	1.33912767675208e-08	0	0	0	0	1.08334573324861e-08	0	0	0	0	0	0	1.18884799570405e-08	0	0	0	0	0	0	0	0
YLrefSI_6891335	0	0	1.31065076565064e-08	1.55172479753454e-08	1.00251729710889e-08	0	0	0	0	2.1946366745481e-08	0	3.36166877019868e-08	0	1.59209101884625e-08	0	0	0	1.44682223027602e-08	0	1.69777328029574e-08	2.94898311027662e-08	2.13366146458971e-08	0	1.73624281809883e-08	0	1.98268903596788e-08	0	2.08155603309817e-08	0	2.24789417440151e-08	0	0	0	0	1.9481870155205e-08	0	0	1.76018756645503e-08	2.55562826900428e-08	0	1.57147730578126e-08	1.91979450233312e-08	1.8579072916009e-08	4.93221907454833e-08	1.54484799969254e-08	3.34945711993603e-08
YLrefSI_6985543	0	0	0	0	1.29074102002769e-08	0	0	0	0	5.65118943696137e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
